w_min,s_max,e_min,market,tr_n,tr_roi,te_n,te_roi,te_win,te_profit,te_t
1,3,0.0,ML,569,-0.10288249278542867,580,-0.05684381119219425,0.4982758620689655,-3296.9410491472663,-1.4171172493733906
1,3,0.0,ATS,567,-0.11784511784511788,572,-0.08550540368722188,0.479020979020979,-4890.909090909092,-2.142385506423498
1,3,0.03,ML,505,-0.09008945793632459,492,-0.0636370520980072,0.4898373983739837,-3130.9429632219544,-1.4459392703630383
1,3,0.03,ATS,502,-0.11010503440782331,484,-0.09278737791134488,0.47520661157024796,-4490.909090909092,-2.1389490672082374
1,3,0.05,ML,448,-0.0822093770048691,423,-0.033207495351414595,0.5011820330969267,-1404.6770533648373,-0.6925455945919189
1,3,0.05,ATS,444,-0.10995085995085997,415,-0.07535596933187297,0.4843373493975904,-3127.272727272728,-1.6070685532969096
1,3,0.08,ML,348,-0.044380852153214474,326,-0.058433603374345076,0.4815950920245399,-1904.9354700036495,-1.0562986484760637
1,3,0.08,ATS,341,-0.06504932018128502,321,-0.1197960917587086,0.46105919003115264,-3845.454545454546,-2.251863971623612
1,7,0.0,ML,1128,-0.07726733897412455,1159,-0.05344620820867252,0.5340811044003452,-6194.415531385145,-1.9504763674928725
1,7,0.0,ATS,1121,-0.08547563052469388,1145,-0.07963477570464471,0.4820960698689956,-9118.18181818182,-2.8235648380179095
1,7,0.03,ML,951,-0.07614237091256341,955,-0.06107308202428477,0.5172774869109947,-5832.479333319196,-1.9680086459267527
1,7,0.03,ATS,944,-0.08994607087827432,942,-0.09814707585408226,0.4723991507430998,-9245.45454545455,-3.1589174000737077
1,7,0.05,ML,824,-0.0736568752974416,816,-0.0488952965999164,0.5134803921568627,-3989.8562025531783,-1.4239401519622996
1,7,0.05,ATS,816,-0.08522727272727275,804,-0.09056987788331075,0.4763681592039801,-7281.818181818185,-2.6917242001658748
1,7,0.08,ML,650,-0.060492224638694775,632,-0.06716112494320227,0.48575949367088606,-4244.583096410383,-1.658990189045661
1,7,0.08,ATS,639,-0.06786171574903974,624,-0.11582167832167835,0.46314102564102566,-7227.272727272729,-3.0368303588057364
1,99,0.0,ML,1684,-0.06898946307624675,1789,-0.04077484722259009,0.6226942425936277,-7294.620168121367,-2.0640784594983015
1,99,0.0,ATS,1681,-0.09031420691147048,1769,-0.057865255151857795,0.49349915206331263,-10236.363636363643,-2.5491717644772405
1,99,0.03,ML,1236,-0.07407718775883997,1290,-0.04838016449847109,0.5736434108527132,-6241.04122030277,-1.913137108782001
1,99,0.03,ATS,1229,-0.09127894075005552,1271,-0.07774837279164586,0.4830841856805665,-9881.818181818187,-2.9043251757322888
