bin,n,pred_mean,obs_rate
0.0-0.1,143,0.06670659894737582,0.08391608391608392
0.1-0.2,366,0.15081213480306824,0.18579234972677597
0.2-0.3,464,0.25120391891408744,0.28448275862068967
0.3-0.4,493,0.3526755225831912,0.43610547667342797
0.4-0.5,554,0.4495625098362723,0.48375451263537905
0.5-0.6,596,0.5525324731487204,0.5587248322147651
0.6-0.7,626,0.6497155907787637,0.6773162939297125
0.7-0.8,672,0.7500928292455249,0.7261904761904762
0.8-0.9,666,0.8512266552275483,0.8333333333333334
0.9-1.0,526,0.9397650076381453,0.9277566539923955
