bin,n,pred_mean,obs_rate
0.0-0.1,123,0.06585983940311729,0.10569105691056911
0.1-0.2,296,0.15443994266110236,0.1554054054054054
0.2-0.3,453,0.25186970148097904,0.27593818984547464
0.3-0.4,483,0.3528282129586149,0.37888198757763975
0.4-0.5,506,0.4507377654335309,0.4762845849802372
0.5-0.6,622,0.5491541593896276,0.5257234726688103
0.6-0.7,695,0.650584781242159,0.6287769784172662
0.7-0.8,653,0.7499645024376315,0.7519142419601837
0.8-0.9,665,0.8504659685953688,0.8285714285714286
0.9-1.0,610,0.9438762631985076,0.9327868852459016
