bin,n,pred_mean,obs_rate
0.0-0.1,138,0.058223005809599694,0.08695652173913043
0.1-0.2,219,0.16438396757869375,0.1643835616438356
0.2-0.3,473,0.25475702852538623,0.24312896405919662
0.3-0.4,440,0.3488337464017389,0.3840909090909091
0.4-0.5,535,0.4477627076022009,0.45981308411214955
0.5-0.6,673,0.5523711477277671,0.5260029717682021
0.6-0.7,770,0.650859025525601,0.6571428571428571
0.7-0.8,649,0.7488515493905424,0.7473035439137135
0.8-0.9,652,0.8473250527225087,0.838957055214724
0.9-1.0,557,0.9456484333146761,0.9210053859964094
