bin,n,pred_mean,obs_rate
0.0-0.1,252,0.05474788621344925,0.07539682539682539
0.1-0.2,378,0.14957033211050152,0.17989417989417988
0.2-0.3,437,0.2563575330155442,0.28832951945080093
0.3-0.4,504,0.353296161125071,0.4146825396825397
0.4-0.5,397,0.42743847251197914,0.48866498740554154
0.5-0.6,698,0.5660911583172132,0.5444126074498568
0.6-0.7,564,0.6574715756370143,0.6932624113475178
0.7-0.8,474,0.7492570718372001,0.7362869198312236
0.8-0.9,621,0.8532851033583922,0.8486312399355878
0.9-1.0,737,0.9520742709623192,0.9443690637720489
