era,model,n,acc,logloss,brier
2006-2025 (betting era),elo,14232,0.7237914558740866,0.5392885484822605,0.18214046634896436
2006-2025 (betting era),pr_win,14232,0.6916104553119731,0.5967751106403487,0.20197793689255136
2006-2025 (betting era),pr_margin,14232,0.6973018549747049,0.5920879080123967,0.2000913215788882
2006-2025 (betting era),pr_points,14232,0.685778527262507,0.5820084771713145,0.19943786148344358
2006-2025 (betting era),pr_points_against,14232,0.6859190556492412,0.581220570753993,0.19915240078581364
2006-2025 (betting era),pr_points_keep,14232,0.7103709949409781,0.5567562073993497,0.18882822470417354
2006-2025 (betting era),bradley_terry,14232,0.68809724564362,0.5862610688547166,0.20073395824469395
2006-2025 (betting era),blade_chest,14232,0.6734822934232715,0.6095510003173282,0.21011442746090875
2006-2025 (betting era),gbm,14232,0.7261101742551995,0.5354873562780174,0.18007641509025443
2006-2025 (betting era),mlp,14232,0.7273046655424396,0.5401322354625778,0.18082561735692554
2006-2025 (betting era),ensemble,14232,0.7273046655424396,0.5312897680633568,0.17879496005681958
2006-2025 (betting era),cfbd_elo,14232,0.7273046655424396,0.5353558415794373,0.1799286533336499
2006-2025 (betting era),market,12447,0.747489354864626,0.4988592313448618,0.16654748291648527
2006-2025 (betting era),market_plus_model,11578,0.7495249611331837,0.4975088074099777,0.16608808441849965
2014-2025 (playoff era),elo,8739,0.7111797688522714,0.5506043128595342,0.18692584082857447
2014-2025 (playoff era),pr_win,8739,0.685433115917153,0.6162027831891215,0.20791772201809128
2014-2025 (playoff era),pr_margin,8739,0.6890948621123698,0.6117719984662338,0.20627889592861579
2014-2025 (playoff era),pr_points,8739,0.6739901590571004,0.5911466300446363,0.2037849723249551
2014-2025 (playoff era),pr_points_against,8739,0.6752488843117062,0.5907362618074112,0.20363285954189228
2014-2025 (playoff era),pr_points_keep,8739,0.7040851355990387,0.5637578840163967,0.19187815211473472
2014-2025 (playoff era),bradley_terry,8739,0.6846321089369493,0.5935635033680184,0.20388422674847992
2014-2025 (playoff era),blade_chest,8739,0.6652935118434603,0.6190469321691103,0.21417986199393857
2014-2025 (playoff era),gbm,8739,0.7172445359880993,0.543344031303001,0.18373696599082898
2014-2025 (playoff era),mlp,8739,0.717816683831102,0.5446145943813213,0.18396267108745293
2014-2025 (playoff era),ensemble,8739,0.7174733951253004,0.5406704142700474,0.1827639000841316
2014-2025 (playoff era),cfbd_elo,8739,0.7205629934775146,0.5458100347902426,0.18397736783587826
2014-2025 (playoff era),market,8478,0.7416843595187544,0.5076872353192808,0.16985146913716742
2014-2025 (playoff era),market_plus_model,8478,0.7429818353385232,0.5080367855990996,0.16992932602190922
2019-2025 (recent),elo,5106,0.7075989032510772,0.5586311355748198,0.18982005998654808
2019-2025 (recent),pr_win,5106,0.6799843321582452,0.6307186392258646,0.2127249373997748
2019-2025 (recent),pr_margin,5106,0.6844888366627497,0.6281760714865859,0.21172217794452924
2019-2025 (recent),pr_points,5106,0.6737171954563259,0.5920972675221493,0.20423533235583904
2019-2025 (recent),pr_points_against,5106,0.6750881316098707,0.5918661714392538,0.20415081274772792
2019-2025 (recent),pr_points_keep,5106,0.6985898942420682,0.5682831020636898,0.19379071723058033
2019-2025 (recent),bradley_terry,5106,0.6801801801801802,0.5973911244089644,0.2055294987800724
2019-2025 (recent),blade_chest,5106,0.6576576576576577,0.6260778512374546,0.21755055772899629
2019-2025 (recent),gbm,5106,0.7113200156678418,0.5529295567355399,0.18710091079563307
2019-2025 (recent),mlp,5106,0.7109283196239718,0.555083678772112,0.18787336599110943
2019-2025 (recent),ensemble,5106,0.7109283196239718,0.5498877328027808,0.1860527771491761
2019-2025 (recent),cfbd_elo,5106,0.7101449275362319,0.5596545372169759,0.18935658583570736
2019-2025 (recent),market,5062,0.7299486369024101,0.5222632741336127,0.17565119263810372
2019-2025 (recent),market_plus_model,5062,0.730738838403793,0.5220140223477047,0.1755424008540994
2023-2025 (last 3),elo,2398,0.7047539616346956,0.559298904846148,0.19041159973794652
2023-2025 (last 3),pr_win,2398,0.6809841534612177,0.6259349304642094,0.21219883219619276
2023-2025 (last 3),pr_margin,2398,0.6834862385321101,0.6276861510918463,0.21160754645669386
2023-2025 (last 3),pr_points,2398,0.6701417848206839,0.59251207506628,0.20490505365289013
2023-2025 (last 3),pr_points_against,2398,0.6709758131776481,0.5927212449817023,0.2049997644589779
2023-2025 (last 3),pr_points_keep,2398,0.701000834028357,0.5666645598441171,0.19359228874609688
2023-2025 (last 3),bradley_terry,2398,0.6784820683903253,0.6038062589132642,0.20836079568033747
2023-2025 (last 3),blade_chest,2398,0.6455379482902419,0.6360477118948272,0.22207206082583061
2023-2025 (last 3),gbm,2398,0.7060050041701418,0.5538399482587575,0.1880606485016131
2023-2025 (last 3),mlp,2398,0.7085070892410342,0.5552391662998427,0.18861422482366194
2023-2025 (last 3),ensemble,2398,0.7110091743119266,0.5503883832807442,0.18677750375440158
2023-2025 (last 3),cfbd_elo,2398,0.7093411175979983,0.5599612002553862,0.18986759423520988
2023-2025 (last 3),market,2398,0.7247706422018348,0.5216375664918137,0.17629414556080825
2023-2025 (last 3),market_plus_model,2398,0.7251876563803169,0.5214285409465985,0.17621667605630625
