rank,Elo_team,Elo_rating,BT_team,BT_strength
1,Indiana,2283,Ohio State,1.62
2,Ohio State,2131,Georgia,1.56
3,Oregon,2126,Oregon,1.55
4,Georgia,2118,Notre Dame,1.33
5,Miami,2113,Alabama,1.28
6,Notre Dame,2111,Ole Miss,1.24
7,Ole Miss,2091,Michigan,1.21
8,Texas,2054,Texas,1.18
9,Texas Tech,2031,Indiana,1.09
10,Utah,2002,James Madison,1.08
11,Alabama,1980,BYU,1.06
12,Iowa,1964,Penn State,0.93
13,Vanderbilt,1950,SMU,0.92
14,BYU,1942,Miami,0.91
15,Texas A&M,1937,Oklahoma,0.91
16,Penn State,1934,Washington,0.85
17,James Madison,1931,Tulane,0.81
18,SMU,1930,Utah,0.81
19,Oklahoma,1923,Texas Tech,0.81
20,Washington,1897,Iowa,0.8
21,USC,1889,Tennessee,0.8
22,Michigan,1870,Clemson,0.79
23,Arizona,1868,Texas A&M,0.79
24,Louisville,1865,TCU,0.77
25,TCU,1862,Louisville,0.74
