family,decay,acc,logloss
pr_points_keep,0.0,0.7014994232987313,0.6089240228713254
bradley_terry,0.0,0.6385236447520185,0.6361855076849888
pr_points_keep,0.35,0.7176470588235294,0.550962303505857
bradley_terry,0.35,0.6715109573241062,0.5937175177106554
pr_points_keep,0.5,0.7116493656286044,0.5613000024025686
bradley_terry,0.5,0.6802768166089965,0.5871333068498386
pr_points_keep,0.65,0.7019607843137254,0.5755737648131942
bradley_terry,0.65,0.6904267589388696,0.5841628215634244
pr_points_keep,0.8,0.6957324106113033,0.5928999128427979
bradley_terry,0.8,0.6867358708189159,0.5849595317140717
pr_points_keep,1.0,0.6765859284890426,0.6189865315210847
bradley_terry,1.0,0.6782006920415224,0.5922214946092692
