k,home_field,preseason_regress,acc,logloss
25,50,0.15,0.739769820971867,0.5269671233068545
25,50,0.25,0.7400895140664961,0.5314946005028592
25,50,0.4,0.7357736572890026,0.5402968262631251
25,65,0.15,0.7373721227621484,0.5275886566721512
25,65,0.25,0.7348145780051151,0.5320482793287378
25,65,0.4,0.7341751918158568,0.5407698558544795
25,80,0.15,0.7341751918158568,0.5296960502979581
25,80,0.25,0.7320971867007673,0.5341306449480865
25,80,0.4,0.7289002557544757,0.5428323696134609
40,50,0.15,0.7383312020460358,0.5233842465808027
40,50,0.25,0.738650895140665,0.5250237205538165
40,50,0.4,0.7320971867007673,0.5306443194638
40,65,0.15,0.7370524296675192,0.5237298203786379
40,65,0.25,0.7373721227621484,0.5253143777048122
40,65,0.4,0.7360933503836317,0.5308623377129805
40,80,0.15,0.7362531969309463,0.5255693813955671
40,80,0.25,0.7359335038363172,0.5271384319521187
40,80,0.4,0.7338554987212276,0.5326710436654081
55,50,0.15,0.7352941176470589,0.5297017260591477
55,50,0.25,0.7317774936061381,0.5291274519896253
55,50,0.4,0.7258631713554987,0.5323330820270039
55,65,0.15,0.735613810741688,0.5297510208597055
55,65,0.25,0.7343350383631714,0.529127301158861
55,65,0.4,0.7289002557544757,0.5322585993120434
55,80,0.15,0.7380115089514067,0.5313169508617946
55,80,0.25,0.734494884910486,0.5306825446805591
55,80,0.4,0.731457800511509,0.5337965386351001
